OTU_ID	domain	phylum	class	order	family	genus	species
OTU_405	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	NA	NA
OTU_406	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA
OTU_407	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	NA	NA	NA
OTU_408	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae UCG-006	NA
OTU_409	NA	NA	NA	NA	NA	NA	NA
OTU_410	NA	NA	NA	NA	NA	NA	NA
OTU_411	NA	NA	NA	NA	NA	NA	NA
OTU_412	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	NA	NA
OTU_413	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU_414	NA	NA	NA	NA	NA	NA	NA
OTU_415	Bacteria	Firmicutes	NA	NA	NA	NA	NA
OTU_416	Bacteria	NA	NA	NA	NA	NA	NA
OTU_417	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA
OTU_418	Bacteria	Firmicutes	Bacilli	NA	NA	NA	NA
OTU_419	NA	NA	NA	NA	NA	NA	NA
OTU_420	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	NA
OTU_421	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA
OTU_422	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
OTU_423	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA
OTU_424	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Marvinbryantia	NA
OTU_425	Bacteria	NA	NA	NA	NA	NA	NA
OTU_426	Bacteria	Firmicutes	Clostridia	Clostridia vadinBB60 group	NA	NA	NA
OTU_427	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	NA
OTU_428	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
OTU_429	NA	NA	NA	NA	NA	NA	NA
OTU_430	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Acetitomaculum	NA
OTU_431	Bacteria	Firmicutes	Clostridia	Clostridia UCG-014	NA	NA	NA
OTU_432	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
OTU_433	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA
OTU_434	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Colidextribacter	NA
OTU_435	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA
OTU_436	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	NA	NA
OTU_437	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA
OTU_438	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	NA
OTU_439	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU_440	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA
OTU_441	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	NA
OTU_442	NA	NA	NA	NA	NA	NA	NA
OTU_443	NA	NA	NA	NA	NA	NA	NA
OTU_444	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Peptostreptococcaceae	NA	NA
OTU_445	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	NA	NA
OTU_446	NA	NA	NA	NA	NA	NA	NA
OTU_447	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
OTU_448	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
OTU_449	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Oscillibacter	NA
OTU_450	NA	NA	NA	NA	NA	NA	NA
OTU_451	Bacteria	NA	NA	NA	NA	NA	NA
OTU_452	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Marinifilaceae	Odoribacter	NA
OTU_453	NA	NA	NA	NA	NA	NA	NA
OTU_454	Bacteria	Firmicutes	Clostridia	NA	NA	NA	NA
