contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5501_S5_17266	131.2941	1852901	Bacteria	Lentisphaerae	NA	NA	NA	NA	Lentisphaerae bacterium ADurb.BinA184
c_5501_S5_17267	329.9323	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17268	18.4081	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17269	29.8349	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17270	23.3806	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5501_S5_17271	21.6467	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17272	117.2045	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5501_S5_17273	425.1429	1852791	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	Alphaproteobacteria bacterium ADurb.Bin100
c_5501_S5_17274	185.9538	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17275	16.3176	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17276	121.8891	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17277	20.0116	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17278	19.0170	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17279	90.3932	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17280	152.8206	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17281	181.0798	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17282	21.6505	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17283	14.4782	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17284	16.1115	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5501_S5_17285	19.4124	520	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella pertussis
c_5501_S5_17286	21.8879	2636909	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Duganella	NA
c_5501_S5_17287	162.3579	1839773	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces	Streptomyces sp. Ncost-T6T-2b
c_5501_S5_17288	278.3578	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5501_S5_17289	27.1108	13687	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
c_5501_S5_17290	20.4078	1930536	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	Sphingomonadaceae bacterium
c_5501_S5_17291	19.8521	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17292	188.8711	520	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella pertussis
c_5501_S5_17293	89.8675	2172652	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. 774
c_5501_S5_17294	12.1029	158899	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Collimonas	Collimonas fungivorans
c_5501_S5_17295	137.1078	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17296	11.8275	1871070	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium
c_5501_S5_17297	22.1538	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17298	90.2040	50259	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Rubrivivax	Rubrivivax sp.
c_5501_S5_17299	25.8218	2079199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Mn16-1_5
c_5501_S5_17300	16.4564	75682	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	NA
c_5501_S5_17301	22.2497	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17302	7.3765	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17303	19.8113	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17304	200.8444	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17305	62.2119	28216	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	NA
c_5501_S5_17306	135.3498	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5501_S5_17307	16.7283	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17308	18.2402	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17309	51.8645	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17310	18.9260	NA	NA	NA	NA	NA	NA	NA	NA
c_5501_S5_17311	27.0353	273677	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium oleivorans
c_5501_S5_17312	28.5008	273677	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium oleivorans
