contig_ID	coverage	taxid	domain	phylum	class	order	family	genus	species
c_5492_S3_14795	22.8494	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14796	19.4024	993047	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Rhizobium etli
c_5492_S3_14797	9.5359	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14798	5.7690	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14799	14.6163	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14800	28.4359	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14801	185.1604	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14802	24.5256	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14803	9.1446	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14804	16.7024	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14805	15.5322	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14806	12.5259	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14807	213.7517	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14808	7.7640	1386	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA
c_5492_S3_14809	9.8756	1871070	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	NA	Oxalobacteraceae bacterium
c_5492_S3_14810	12.4973	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14811	8.8875	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14812	9.6746	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14813	6.9860	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14814	47.8123	312063	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	NA
c_5492_S3_14815	14.1551	28216	Bacteria	Proteobacteria	Betaproteobacteria	NA	NA	NA	NA
c_5492_S3_14816	280.0694	1549812	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. BSC265
c_5492_S3_14817	48.3545	1437059	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	Magnetospirillum moscoviense
c_5492_S3_14818	282.6420	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14819	18.2889	2079199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Mn16-1_5
c_5492_S3_14820	10.4787	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14821	339.9982	131567	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14822	275.4221	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14823	19.5050	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14824	10.4364	2066053	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sp. UMB0893
c_5492_S3_14825	315.2131	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14826	13.8571	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14827	14.8491	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14828	7.3450	1955422	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. KIM
c_5492_S3_14829	61.3549	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14830	8.9003	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14831	194.4704	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14832	9.7546	80840	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	NA
c_5492_S3_14833	123.5594	286638	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia alkalitolerans
c_5492_S3_14834	7.5352	41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
c_5492_S3_14835	280.3841	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14836	151.9250	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14837	10.2419	1688639	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	Noviherbaspirillum humi
c_5492_S3_14838	19.7486	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14839	5.4096	2681550	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. SJY3
c_5492_S3_14840	38.9641	364039	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	Azohydromonas australica
c_5492_S3_14841	21.5044	2725995	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. ML15P13
c_5492_S3_14842	180.0029	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14843	7.0471	273677	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium oleivorans
c_5492_S3_14844	13.7063	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14845	7.3173	41297	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	NA	NA
c_5492_S3_14846	18.3024	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14847	11.5743	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14848	1.8868	1385	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	NA
c_5492_S3_14849	7.1203	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14850	15.1694	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14851	45.4794	2172652	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	Caulobacter sp. 774
c_5492_S3_14852	14.7430	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14853	40.4189	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14854	10.8779	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14855	11.6360	305	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Ralstonia	Ralstonia solanacearum
c_5492_S3_14856	375.4385	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14857	37.6031	364039	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Azohydromonas	Azohydromonas australica
c_5492_S3_14858	17.6768	2	Bacteria	NA	NA	NA	NA	NA	NA
c_5492_S3_14859	11.9888	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14860	6.7382	1891238	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	NA	Burkholderiales bacterium
c_5492_S3_14861	4.9474	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14862	10.6554	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14863	253.5915	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14864	3.7143	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14865	62.1683	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14866	80.4591	520	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Bordetella	Bordetella pertussis
c_5492_S3_14867	318.3709	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14868	16.5744	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14869	14.1306	1642949	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas sp. Ag1
c_5492_S3_14870	48.6778	75	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Caulobacter	NA
c_5492_S3_14871	91.4644	286638	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia alkalitolerans
c_5492_S3_14872	39.4319	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14873	21.1680	2079199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Mn16-1_5
c_5492_S3_14874	6.8902	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14875	14.2420	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14876	19.5524	2572881	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herbaspirillum	Herbaspirillum sp. SJZ107
c_5492_S3_14877	14.4507	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14878	12.2881	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14879	5.2679	106589	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Cupriavidus	NA
c_5492_S3_14880	12.2006	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14881	5.9544	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14882	6.2073	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14883	9.0745	2079199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Mn16-1_5
c_5492_S3_14884	8.1227	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14885	6.4884	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14886	364.5833	1224	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
c_5492_S3_14887	12.4859	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14888	14.6868	2585209	Eukaryota	Arthropoda	Arachnida	Araneae	Nephilidae	Trichonephila	Trichonephila clavipes
c_5492_S3_14889	112.3680	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14890	45.1420	1736462	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Brevundimonas	Brevundimonas sp. Root1423
c_5492_S3_14891	114.0310	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14892	11.1366	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14893	29.0073	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14894	68.9277	1547922	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	NA	Ideonella	Ideonella sakaiensis
c_5492_S3_14895	20.5304	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14896	69.1146	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14897	13.3351	2079199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	Massilia sp. Mn16-1_5
c_5492_S3_14898	104.7647	149698	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	NA
c_5492_S3_14899	305.1788	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14900	425.4986	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14901	9.1720	NA	NA	NA	NA	NA	NA	NA	NA
c_5492_S3_14902	39.2085	NA	NA	NA	NA	NA	NA	NA	NA
